GO_ID,SPECIES,local_cc_10,edges_10
GO_0007010,DR,0.231197644,0.269528988
GO_0007018,DR,0.392155851,0.479993616
GO_0007031,DR,0.743020741,0.356845262
GO_0007040,DR,0.05670197,-0.007584779
GO_0007049,DR,0.357729141,0.498779636
GO_0007059,DR,0.21254661,0.26753655
GO_0007155,DR,0.08867024,0.111361588
GO_0007163,DR,0.299809055,0.33096846
GO_0007568,DR,0.04049642,-0.091100379
GO_0008361,DR,-0.146814844,-0.124358302
GO_0009295,DR,0,0
GO_0012501,DR,0.017978611,0.060873977
GO_0015979,DR,0,0
GO_0016071,DR,0.18309926,0.267880625
GO_0016073,DR,0.19310921,0.238764323
GO_0016192,DR,0.198500296,0.303553218
GO_0022414,DR,0.251560348,0.249412551
GO_0022600,DR,0.220304643,0.229138443
GO_0023052,DR,0.10537214,0.109679918
GO_0030154,DR,-0.005518177,0.011376903
GO_0030163,DR,0.166837448,0.249135853
GO_0030198,DR,-0.037467467,-0.039368225
GO_0031047,DR,0.247700585,0.362353651
GO_0032200,DR,0.098289396,0.195859026
GO_0034330,DR,0.193166998,0.148281603
GO_0036211,DR,-0.023641275,-0.023218479
GO_0042060,DR,0.159382522,0.133663302
GO_0042254,DR,0.166445737,0.231741525
GO_0044782,DR,0.385589162,0.613636899
GO_0048856,DR,-0.08552144,-0.074470573
GO_0048870,DR,0.024891375,0.076411966
GO_0050877,DR,0.084035826,0.066855157
GO_0050886,DR,0,0
GO_0051301,DR,0.35732398,0.379323658
GO_0051604,DR,0.21762257,0.193289266
GO_0051726,DR,0.288656189,0.444884635
GO_0055065,DR,0.181811231,0.222544806
GO_0055085,DR,0.171165906,0.15903317
GO_0055086,DR,0.175471004,0.179239776
GO_0061007,DR,0,0
GO_0061024,DR,0.16175041,0.236311585
GO_0065003,DR,0.249858427,0.264035488
GO_0071554,DR,0,0
GO_0071941,DR,0,0
GO_0072659,DR,-0.067214767,-0.095675688
GO_0098542,DR,0.118961093,0.108507456
GO_0098754,DR,0.414631862,0.473703537
GO_0140013,DR,0.278032516,0.346131797
GO_0140014,DR,0.331576433,0.425350415
GO_0140053,DR,0.06667934,0.103719103
GO_1901135,DR,0.191382605,0.244415942
GO_0000278,HS,0.29904109,0.395867381
GO_0000502,HS,0.581466226,0.376006445
GO_0000902,HS,0.049665546,0.058284289
GO_0000910,HS,-0.086024678,-0.048880004
GO_0002181,HS,-0.008566791,-0.020292216
GO_0002376,HS,0.114159325,0.12762746
GO_0003012,HS,0.236129656,0.316745919
GO_0003013,HS,-0.028943987,-0.008996324
GO_0003014,HS,-0.02789194,-0.049838692
GO_0003016,HS,-0.097835984,-0.057982783
GO_0005975,HS,0.241960097,0.240613257
GO_0006091,HS,0.465046728,0.554555661
GO_0006099,HS,0.079484345,0.000728105
GO_0006259,HS,0.337795114,0.485640508
GO_0006260,HS,0.385360098,0.542594008
GO_0006281,HS,0.334579881,0.485014449
GO_0006310,HS,0.323275639,0.45172231
GO_0006325,HS,0.271705491,0.278270637
GO_0006351,HS,0.40689407,0.51038244
GO_0006355,HS,0.101176106,0.084569398
GO_0006399,HS,0.027766729,0.138071241
GO_0006412,HS,0.452461344,0.468882655
GO_0006457,HS,0.175715186,0.263222816
GO_0006486,HS,0.244369776,0.380301318
GO_0006520,HS,0.207364064,0.25572062
GO_0006575,HS,0.106233224,0.155475164
GO_0006629,HS,0.265709513,0.272695624
GO_0006766,HS,0.076586019,0.135925664
GO_0006790,HS,0.189027165,0.176771354
GO_0006886,HS,0.301119912,0.304266111
GO_0006913,HS,0.323548819,0.459783888
GO_0006914,HS,0.216329943,0.286639243
GO_0006954,HS,0.039395792,0.047436688
GO_0007005,HS,0.277275166,0.342028666
GO_0007010,HS,0.067168391,0.088858239
GO_0007018,HS,0.313192949,0.341506469
GO_0007031,HS,0.615808519,0.545074133
GO_0007040,HS,0.100039209,0.083895228
GO_0007049,HS,0.230695513,0.325508154
GO_0007059,HS,0.122639637,0.306877884
GO_0007155,HS,0.029926725,0.011889362
GO_0007163,HS,0.242857815,0.293919586
GO_0007568,HS,0.115918406,0.148208699
GO_0008361,HS,0.008681309,0.045121364
GO_0009295,HS,0.147032318,0.258662454
GO_0012501,HS,0.17968183,0.122046083
GO_0015979,HS,0,0
GO_0016071,HS,0.270899835,0.392712412
GO_0016073,HS,0.235545296,0.078666436
GO_0016192,HS,0.319909952,0.38095311
GO_0022414,HS,0.140375777,0.143986094
GO_0022600,HS,-0.126199368,-0.120087679
GO_0023052,HS,0.042433761,0.087254484
GO_0030154,HS,0.040679972,0.014503972
GO_0030163,HS,0.235989027,0.2981934
GO_0030198,HS,0.043969982,0.093601142
GO_0031047,HS,0.207902479,0.320074846
GO_0032200,HS,0.030187371,0.215427046
GO_0034330,HS,0.080815464,0.105953721
GO_0036211,HS,0.130715468,0.163037576
GO_0042060,HS,-0.028346794,-0.068756242
GO_0042254,HS,0.391153721,0.449198724
GO_0044782,HS,0.388884748,0.538072598
GO_0048856,HS,0.00849304,-0.012131372
GO_0048870,HS,0.082254021,0.089928454
GO_0050877,HS,0.091902144,0.101914252
GO_0050886,HS,0.076507066,0.128601701
GO_0051301,HS,0.208884388,0.325852542
GO_0051604,HS,0.23589469,0.205833889
GO_0051726,HS,0.218624988,0.220809409
GO_0055065,HS,0.087538735,0.086257294
GO_0055085,HS,0.116628351,0.093775701
GO_0055086,HS,0.132342466,0.10717734
GO_0061007,HS,0,0
GO_0061024,HS,0.167952583,0.167648817
GO_0065003,HS,0.136294788,0.135905215
GO_0071554,HS,0,0
GO_0071941,HS,0.341434008,0.231605432
GO_0072659,HS,-0.026309389,-0.00119376
GO_0098542,HS,0.069800238,0.09796362
GO_0098754,HS,0.235039322,0.370320122
GO_0140013,HS,0.331974477,0.56436613
GO_0140014,HS,0.181369967,0.340469852
GO_0140053,HS,0.248558358,0.22426131
GO_1901135,HS,0.223396555,0.206143908
GO_0000278,SC,0.314004831,0.456801644
GO_0000502,SC,0.76502585,0.560251204
GO_0000902,SC,-0.151980538,-0.044910215
GO_0000910,SC,-0.003037951,0.055750711
GO_0002181,SC,0.027000968,0.028432874
GO_0002376,SC,0,0
GO_0003012,SC,0,0
GO_0003013,SC,0,0
GO_0003014,SC,0,0
GO_0003016,SC,0,0
