name,local_cc_10,edges_10
GO_0005975_HS,0.241960097,0.240613257
GO_0006914_SC,0.204497552,0.287698134
GO_0016073_SP,0.166734783,0.332745779
GO_0007010_DR,0.231197644,0.269528988
GO_0007005_DR,0.20357068,0.297249914
GO_0022414_DR,0.251560348,0.249412551
GO_0006629_SC,0.240492413,0.261014194
GO_0016192_DR,0.198500296,0.303553218
GO_0006914_HS,0.216329943,0.286639243
GO_0032200_SC,0.193772821,0.310137225
GO_0007018_SC,0.319880665,0.184811702
GO_0000502_DM,0.408690361,0.099189553
GO_0032200_SP,0.263049906,0.245576933
GO_0030163_DM,0.234858595,0.276557673
GO_0098754_DM,0.160291824,0.351547858
GO_0006886_AT,0.278194731,0.234245241
GO_0022414_SC,0.1896841,0.32331584
GO_0065003_DR,0.249858427,0.264035488
GO_0016073_SC,0.230403527,0.287468676
GO_0006457_SC,0.185711958,0.333788094
GO_0140014_HS,0.181369967,0.340469852
GO_0006091_SP,0.2321442,0.290785546
GO_0051726_CE,0.204618192,0.318340135
GO_0006325_SP,0.185197926,0.339002272
GO_0006260_DR,0.179906713,0.346837281
GO_0031047_HS,0.207902479,0.320074846
GO_0140014_SC,0.142249685,0.386241912
GO_0006886_DR,0.232206233,0.298531516
GO_0016071_DM,0.24594662,0.284980948
GO_0030163_SC,0.19695518,0.334127322
GO_0030163_HS,0.235989027,0.2981934
GO_0051301_HS,0.208884388,0.325852542
GO_0006913_DR,0.285217187,0.250237122
GO_0007163_HS,0.242857815,0.293919586
GO_0006629_HS,0.265709513,0.272695624
GO_0006913_SC,0.222253808,0.317174032
GO_0006457_DM,0.214784648,0.325960662
GO_0140014_CE,0.238973532,0.304172706
GO_0006281_SC,0.190572529,0.352878202
GO_0007005_SC,0.170276115,0.375076607
GO_1901135_AT,0.281888682,0.263883586
GO_0051301_CE,0.204662027,0.343096566
GO_0006325_HS,0.271705491,0.278270637
GO_0000278_CE,0.188334357,0.363376655
GO_0003012_HS,0.236129656,0.316745919
GO_0007049_HS,0.230695513,0.325508154
GO_0000278_SP,0.235529466,0.322208835
GO_0051604_DM,0.29259906,0.26683107
GO_0006325_SC,0.145086765,0.414477274
GO_0006281_SP,0.186054646,0.375624222
GO_0016192_CE,0.210358604,0.354055174
GO_0042254_CE,0.274636417,0.29397799
GO_0061024_AT,0.225818022,0.342934422
GO_0006575_SP,0.279667191,0.289709748
GO_0002181_SP,0.267865346,0.304521666
GO_0071941_HS,0.341434008,0.231605432
GO_0006486_AT,0.261303816,0.311754776
GO_0006486_DM,0.232082548,0.348424962
GO_0006325_DM,0.185726146,0.398114395
GO_0055065_AT,0.281675113,0.303587841
GO_0007010_SP,0.250566884,0.33556631
GO_0006259_SP,0.216620088,0.37079271
GO_0007059_CE,0.24231325,0.346874666
GO_0140053_SP,0.297912648,0.292609892
GO_0016192_DM,0.233339305,0.357196849
GO_0098754_SP,0.191418322,0.399159283
GO_0006575_SC,0.243850205,0.348705743
GO_0006790_AT,0.247146995,0.347761672
GO_0006913_AT,0.269825788,0.325525479
GO_0006259_SC,0.204457923,0.390980765
GO_0002181_DR,0.305300787,0.29116485
GO_0065003_AT,0.266008858,0.330797162
GO_0006310_SP,0.233312746,0.366380226
GO_0071941_AT,0.308870072,0.291390776
GO_0016192_SP,0.207356393,0.393548766
GO_0000278_DM,0.241599999,0.360609885
GO_0006914_DM,0.297626204,0.305762697
GO_0006351_DM,0.314070052,0.290575877
GO_0098754_HS,0.235039322,0.370320122
GO_0006886_HS,0.301119912,0.304266111
GO_0006310_DR,0.244895124,0.364260925
GO_0031047_DR,0.247700585,0.362353651
GO_0032200_DM,0.254169501,0.356762144
GO_0005975_SC,0.205253961,0.406098636
GO_0005975_CE,0.268823225,0.343283625
GO_0140013_SC,0.292956932,0.323757212
GO_0007005_HS,0.277275166,0.342028666
GO_0006099_SC,0.461700546,0.158146007
GO_0006457_SP,0.295511022,0.327062853
GO_0016071_AT,0.266050439,0.356923701
GO_0016192_AT,0.236900227,0.38697037
GO_0140013_DR,0.278032516,0.346131797
GO_0006486_HS,0.244369776,0.380301318
GO_0007059_SP,0.279849105,0.346850617
GO_0007155_CE,0.302525137,0.325097621
GO_0006913_CE,0.257187106,0.372550744
GO_0007163_DR,0.299809055,0.33096846
GO_0012501_SC,0.329128167,0.304439537
GO_0006351_CE,0.275365019,0.362367742
GO_0006310_DM,0.225124252,0.412717236
GO_0006259_DM,0.25041236,0.387859471
GO_0098754_CE,0.269869874,0.373367096
GO_0006099_AT,0.265358081,0.381177316
GO_0006412_DR,0.289549571,0.357017013
GO_0016071_SC,0.256973326,0.392409774
GO_0051726_DM,0.317938613,0.332971899
GO_0007018_HS,0.313192949,0.341506469
GO_0016071_SP,0.28811802,0.367659176
GO_0006790_DR,0.300009815,0.356156469
GO_0000278_DR,0.289133075,0.37220851
GO_0006259_DR,0.243557469,0.418217448
GO_0006259_CE,0.257814877,0.404886412
GO_0016071_HS,0.270899835,0.392712412
GO_0006260_CE,0.365505315,0.300326185
GO_0140013_CE,0.284739787,0.381106979
GO_0031047_SP,0.326311546,0.340150588
GO_0007010_SC,0.273188882,0.393281938
GO_0006913_SP,0.284870751,0.384420463
GO_0007049_CE,0.246325254,0.424738392
GO_0140013_AT,0.283941961,0.387432496
GO_0006281_CE,0.308744147,0.371539116
GO_0000502_SP,0.599365481,0.085135514
GO_0006520_AT,0.31455978,0.371903268
GO_0140013_SP,0.192083772,0.496894532
GO_0007005_SP,0.321166362,0.369530605
GO_0042254_DM,0.346926697,0.347756298
GO_0000278_HS,0.29904109,0.395867381
GO_0140014_DM,0.274253393,0.421366234
GO_0016192_SC,0.287492226,0.410897614
GO_0006310_AT,0.268366009,0.430061314
GO_0051726_SC,0.28070565,0.419255253
GO_0016192_HS,0.319909952,0.38095311
GO_0006281_DR,0.294464189,0.406457341
GO_0006486_SP,0.271172331,0.430963797
GO_0006091_DM,0.204314907,0.500208869
GO_0006351_SP,0.3273978,0.382463194
GO_0006351_SC,0.245488733,0.465583038
GO_0007059_DM,0.300285811,0.415794846
GO_0007049_DM,0.296446827,0.422146954
GO_0007049_SC,0.25638614,0.465489971
GO_0006310_SC,0.312656021,0.411792791
GO_0042254_AT,0.317420887,0.408032537
GO_0006914_SP,0.304469944,0.425890404
GO_0007049_SP,0.288402327,0.443386096
GO_0006091_SC,0.317818247,0.414372552
GO_0051726_DR,0.288656189,0.444884635
GO_0098754_AT,0.3445088,0.390756505
GO_0051301_DR,0.35732398,0.379323658
GO_0140013_DM,0.272273554,0.464475145
GO_0022414_SP,0.281618832,0.45918328
GO_0006260_AT,0.334096105,0.408381292
GO_0140053_AT,0.262740299,0.481409717
GO_0051726_AT,0.318519838,0.428674443
GO_0007018_DM,0.328951703,0.419484024
GO_0140014_DR,0.331576433,0.425350415
GO_0007018_CE,0.245116865,0.512246025
GO_0030163_SP,0.303918032,0.455738893
GO_0006914_DR,0.352063296,0.407826845
GO_0031047_CE,0.291922422,0.47180404
GO_0006091_AT,0.314564615,0.453954259
GO_0000278_SC,0.314004831,0.456801644
GO_0055065_DM,0.345034868,0.427759454
GO_0042254_SP,0.315762409,0.458919238
GO_0006310_HS,0.323275639,0.45172231
GO_0006260_DM,0.33783136,0.442887898
GO_0006913_HS,0.323548819,0.459783888
GO_0006281_DM,0.349984969,0.435671187
GO_0098754_SC,0.374633077,0.421176495
GO_0007005_AT,0.377982741,0.419555712
GO_0005975_SP,0.35954372,0.438157876
GO_0006260_SP,0.352459713,0.450170164
GO_0006412_SC,0.326378056,0.484078118
GO_0016073_CE,0.392686238,0.425742904
GO_0006281_HS,0.334579881,0.485014449
GO_0051301_AT,0.31588915,0.506809033
GO_0006259_HS,0.337795114,0.485640508
GO_0006486_SC,0.382094076,0.441649794
GO_0140014_SP,0.389273518,0.438213583
GO_0006914_AT,0.419325096,0.414664976
GO_0042254_HS,0.391153721,0.449198724
GO_0007010_AT,0.398677726,0.44472919
GO_0042254_SC,0.340410323,0.503010572
GO_0007049_AT,0.349936839,0.50046183
GO_0007049_DR,0.357729141,0.498779636
GO_0006351_DR,0.412133144,0.445030809
GO_0006099_SP,0.776553526,0.085490068
GO_0006412_SP,0.384386797,0.479171542
GO_0007018_DR,0.392155851,0.479993616
GO_0006259_AT,0.365376712,0.51462849
GO_0006351_AT,0.399920603,0.482800852
GO_0006914_CE,0.423426772,0.462003058
GO_0006412_AT,0.367117605,0.518835498
GO_0098754_DR,0.414631862,0.473703537
GO_0003012_DM,0.434822229,0.454013003
GO_0140013_HS,0.331974477,0.56436613
GO_0003012_CE,0.501659149,0.401992064
GO_0006351_HS,0.40689407,0.51038244
GO_0006091_DR,0.424832131,0.494891073
GO_0006412_HS,0.452461344,0.468882655
GO_0006281_AT,0.400731575,0.524422627
GO_0044782_HS,0.388884748,0.538072598
GO_0007031_CE,0.602538068,0.325027575
GO_0006260_HS,0.385360098,0.542594008
GO_0000502_HS,0.581466226,0.376006445
GO_0000502_DR,0.647253579,0.333200949
GO_0044782_DR,0.385589162,0.613636899
GO_0006091_HS,0.465046728,0.554555661
